Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
05 May 2023,19:57,311.27 Mb/s,19.39 Mb/s,12717,Bento Gonçalves,138.59.48.128,5092
05 May 2023,20:12,295.41 Mb/s,168.80 Mb/s,12717,Bento Gonçalves,138.59.48.128,6382
05 May 2023,20:13,310.75 Mb/s,172.19 Mb/s,12717,Bento Gonçalves,138.59.48.128,5090
05 May 2023,20:14,266.09 Mb/s,71.98 Mb/s,12717,Bento Gonçalves,138.59.48.128,6697
05 May 2023,20:15,309.99 Mb/s,96.52 Mb/s,12717,Bento Gonçalves,138.59.48.128,5982
05 May 2023,20:16,289.94 Mb/s,167.18 Mb/s,12717,Bento Gonçalves,138.59.48.128,5629
05 May 2023,20:17,309.51 Mb/s,167.25 Mb/s,12717,Bento Gonçalves,138.59.48.128,5223
05 May 2023,20:18,291.41 Mb/s,53.22 Mb/s,12717,Bento Gonçalves,138.59.48.128,5226
05 May 2023,20:19,310.13 Mb/s,75.14 Mb/s,12717,Bento Gonçalves,138.59.48.128,5082
05 May 2023,20:20,294.83 Mb/s,102.68 Mb/s,12717,Bento Gonçalves,138.59.48.128,5919
05 May 2023,20:21,307.52 Mb/s,110.59 Mb/s,12717,Bento Gonçalves,138.59.48.128,4163
05 May 2023,20:22,304.20 Mb/s,171.22 Mb/s,12717,Bento Gonçalves,138.59.48.128,5193
05 May 2023,20:23,309.86 Mb/s,51.97 Mb/s,12717,Bento Gonçalves,138.59.48.128,6517
05 May 2023,20:24,293.32 Mb/s,150.85 Mb/s,12717,Bento Gonçalves,138.59.48.128,4879
05 May 2023,20:25,310.55 Mb/s,160.39 Mb/s,12717,Bento Gonçalves,138.59.48.128,5517
05 May 2023,20:26,310.54 Mb/s,104.54 Mb/s,12717,Bento Gonçalves,138.59.48.128,5501
05 May 2023,20:27,309.95 Mb/s,166.56 Mb/s,12717,Bento Gonçalves,138.59.48.128,5482
05 May 2023,20:28,292.90 Mb/s,150.63 Mb/s,12717,Bento Gonçalves,138.59.48.128,5934
05 May 2023,20:29,296.83 Mb/s,100.47 Mb/s,12717,Bento Gonçalves,138.59.48.128,5509
05 May 2023,20:30,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,20:31,296.19 Mb/s,62.07 Mb/s,12717,Bento Gonçalves,138.59.48.128,5034
05 May 2023,20:32,310.92 Mb/s,110.35 Mb/s,12717,Bento Gonçalves,138.59.48.128,5126
05 May 2023,20:33,300.11 Mb/s,156.39 Mb/s,12717,Bento Gonçalves,138.59.48.128,5537
05 May 2023,20:34,311.03 Mb/s,109.24 Mb/s,12717,Bento Gonçalves,138.59.48.128,5921
05 May 2023,20:35,298.30 Mb/s,97.88 Mb/s,12717,Bento Gonçalves,138.59.48.128,5875
05 May 2023,20:36,311.14 Mb/s,157.56 Mb/s,12717,Bento Gonçalves,138.59.48.128,5924
05 May 2023,20:37,298.40 Mb/s,168.43 Mb/s,12717,Bento Gonçalves,138.59.48.128,5343
05 May 2023,20:38,310.65 Mb/s,87.67 Mb/s,12717,Bento Gonçalves,138.59.48.128,5738
05 May 2023,20:39,296.57 Mb/s,173.86 Mb/s,12717,Bento Gonçalves,138.59.48.128,4995
05 May 2023,20:40,309.58 Mb/s,154.69 Mb/s,12717,Bento Gonçalves,138.59.48.128,4352
05 May 2023,20:41,207.65 Mb/s,103.90 Mb/s,12717,Bento Gonçalves,138.59.48.128,5305
05 May 2023,20:42,310.05 Mb/s,75.75 Mb/s,12717,Bento Gonçalves,138.59.48.128,4375
05 May 2023,20:43,297.03 Mb/s,168.66 Mb/s,12717,Bento Gonçalves,138.59.48.128,5617
05 May 2023,20:44,311.13 Mb/s,86.91 Mb/s,12717,Bento Gonçalves,138.59.48.128,5812
05 May 2023,20:45,291.10 Mb/s,88.53 Mb/s,12717,Bento Gonçalves,138.59.48.128,5724
05 May 2023,20:46,307.04 Mb/s,104.43 Mb/s,12717,Bento Gonçalves,138.59.48.128,6182
05 May 2023,20:47,310.44 Mb/s,172.20 Mb/s,12717,Bento Gonçalves,138.59.48.128,5063
05 May 2023,20:48,310.86 Mb/s,166.33 Mb/s,12717,Bento Gonçalves,138.59.48.128,4885
05 May 2023,20:49,308.93 Mb/s,120.96 Mb/s,12717,Bento Gonçalves,138.59.48.128,4714
05 May 2023,20:50,309.67 Mb/s,90.57 Mb/s,12717,Bento Gonçalves,138.59.48.128,5152
05 May 2023,20:51,209.26 Mb/s,156.33 Mb/s,12717,Bento Gonçalves,138.59.48.128,6584
05 May 2023,20:52,311.12 Mb/s,88.43 Mb/s,12717,Bento Gonçalves,138.59.48.128,5076
05 May 2023,20:53,309.84 Mb/s,162.48 Mb/s,12717,Bento Gonçalves,138.59.48.128,5023
05 May 2023,20:54,310.90 Mb/s,97.75 Mb/s,12717,Bento Gonçalves,138.59.48.128,5063
05 May 2023,20:55,309.33 Mb/s,88.95 Mb/s,12717,Bento Gonçalves,138.59.48.128,5905
05 May 2023,20:56,311.18 Mb/s,104.34 Mb/s,12717,Bento Gonçalves,138.59.48.128,5169
05 May 2023,20:57,311.11 Mb/s,64.85 Mb/s,12717,Bento Gonçalves,138.59.48.128,6954
05 May 2023,20:58,311.21 Mb/s,93.72 Mb/s,12717,Bento Gonçalves,138.59.48.128,6387
05 May 2023,20:59,311.05 Mb/s,99.74 Mb/s,12717,Bento Gonçalves,138.59.48.128,5891
05 May 2023,21:00,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,21:01,311.10 Mb/s,59.70 Mb/s,12717,Bento Gonçalves,138.59.48.128,5983
05 May 2023,21:02,311.20 Mb/s,173.28 Mb/s,12717,Bento Gonçalves,138.59.48.128,5514
05 May 2023,21:03,309.67 Mb/s,171.43 Mb/s,12717,Bento Gonçalves,138.59.48.128,6703
05 May 2023,21:04,311.14 Mb/s,61.86 Mb/s,12717,Bento Gonçalves,138.59.48.128,5330
05 May 2023,21:05,200.50 Mb/s,87.23 Mb/s,12717,Bento Gonçalves,138.59.48.128,5583
05 May 2023,21:06,310.90 Mb/s,172.24 Mb/s,12717,Bento Gonçalves,138.59.48.128,4460
05 May 2023,21:07,311.07 Mb/s,171.42 Mb/s,12717,Bento Gonçalves,138.59.48.128,5256
05 May 2023,21:08,310.81 Mb/s,151.09 Mb/s,12717,Bento Gonçalves,138.59.48.128,5755
05 May 2023,21:09,245.13 Mb/s,91.84 Mb/s,12717,Bento Gonçalves,138.59.48.128,6054
05 May 2023,21:10,311.09 Mb/s,99.69 Mb/s,12717,Bento Gonçalves,138.59.48.128,5651
05 May 2023,21:11,311.11 Mb/s,120.18 Mb/s,12717,Bento Gonçalves,138.59.48.128,6286
05 May 2023,21:12,311.03 Mb/s,114.32 Mb/s,12717,Bento Gonçalves,138.59.48.128,4937
05 May 2023,21:13,311.01 Mb/s,110.87 Mb/s,12717,Bento Gonçalves,138.59.48.128,5419
05 May 2023,21:14,311.14 Mb/s,53.03 Mb/s,12717,Bento Gonçalves,138.59.48.128,5812
05 May 2023,21:15,311.08 Mb/s,166.52 Mb/s,12717,Bento Gonçalves,138.59.48.128,5386
05 May 2023,21:16,311.17 Mb/s,171.88 Mb/s,12717,Bento Gonçalves,138.59.48.128,5358
05 May 2023,21:17,311.08 Mb/s,152.03 Mb/s,12717,Bento Gonçalves,138.59.48.128,5467
05 May 2023,21:18,163.31 Mb/s,148.40 Mb/s,12717,Bento Gonçalves,138.59.48.128,5803
05 May 2023,21:19,311.14 Mb/s,113.04 Mb/s,12717,Bento Gonçalves,138.59.48.128,5697
05 May 2023,21:20,309.24 Mb/s,171.37 Mb/s,12717,Bento Gonçalves,138.59.48.128,6176
05 May 2023,21:21,163.05 Mb/s,160.72 Mb/s,12717,Bento Gonçalves,138.59.48.128,5890
05 May 2023,21:22,310.73 Mb/s,81.19 Mb/s,12717,Bento Gonçalves,138.59.48.128,4671
05 May 2023,21:23,310.83 Mb/s,109.81 Mb/s,12717,Bento Gonçalves,138.59.48.128,5597
05 May 2023,21:24,311.09 Mb/s,87.13 Mb/s,12717,Bento Gonçalves,138.59.48.128,5229
05 May 2023,21:25,311.00 Mb/s,110.82 Mb/s,12717,Bento Gonçalves,138.59.48.128,5729
05 May 2023,21:26,310.63 Mb/s,95.59 Mb/s,12717,Bento Gonçalves,138.59.48.128,4952
05 May 2023,21:27,310.86 Mb/s,90.19 Mb/s,12717,Bento Gonçalves,138.59.48.128,5848
05 May 2023,21:28,311.00 Mb/s,94.10 Mb/s,12717,Bento Gonçalves,138.59.48.128,4716
05 May 2023,21:29,310.97 Mb/s,115.72 Mb/s,12717,Bento Gonçalves,138.59.48.128,5750
05 May 2023,21:30,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,21:31,310.40 Mb/s,87.60 Mb/s,12717,Bento Gonçalves,138.59.48.128,5240
05 May 2023,21:32,310.35 Mb/s,170.34 Mb/s,12717,Bento Gonçalves,138.59.48.128,5659
05 May 2023,21:33,309.57 Mb/s,95.35 Mb/s,12717,Bento Gonçalves,138.59.48.128,5646
05 May 2023,21:34,310.58 Mb/s,166.46 Mb/s,12717,Bento Gonçalves,138.59.48.128,5670
05 May 2023,21:35,311.05 Mb/s,113.66 Mb/s,12717,Bento Gonçalves,138.59.48.128,5421
05 May 2023,21:36,311.00 Mb/s,109.55 Mb/s,12717,Bento Gonçalves,138.59.48.128,6452
05 May 2023,21:37,311.04 Mb/s,116.00 Mb/s,12717,Bento Gonçalves,138.59.48.128,5427
05 May 2023,21:38,311.03 Mb/s,100.24 Mb/s,12717,Bento Gonçalves,138.59.48.128,5884
05 May 2023,21:39,311.06 Mb/s,172.05 Mb/s,12717,Bento Gonçalves,138.59.48.128,4972
05 May 2023,21:40,311.09 Mb/s,170.34 Mb/s,12717,Bento Gonçalves,138.59.48.128,4882
05 May 2023,21:41,311.04 Mb/s,97.08 Mb/s,12717,Bento Gonçalves,138.59.48.128,4587
05 May 2023,21:42,310.99 Mb/s,170.10 Mb/s,12717,Bento Gonçalves,138.59.48.128,5505
05 May 2023,21:43,310.61 Mb/s,173.90 Mb/s,12717,Bento Gonçalves,138.59.48.128,5915
05 May 2023,21:44,310.57 Mb/s,168.45 Mb/s,12717,Bento Gonçalves,138.59.48.128,6077
05 May 2023,21:45,309.94 Mb/s,152.62 Mb/s,12717,Bento Gonçalves,138.59.48.128,6324
05 May 2023,21:46,207.60 Mb/s,83.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,5059
